sample_idx,record_id,true_label,pred_label,drift_score,confidence,entropy,margin,policy_level,action,reason_code
0,100,N,N,0.0,0.9747,0.1285,0.952,normal,accept,NORMAL
1,100,N,N,0.0,0.949,0.2327,0.9087,normal,accept,NORMAL
2,100,N,N,0.0,0.9649,0.1758,0.9378,normal,accept,NORMAL
3,100,N,N,0.0,0.9771,0.1288,0.9662,normal,accept,NORMAL
4,100,N,N,0.0,0.9854,0.0871,0.9745,normal,accept,NORMAL
5,100,N,N,0.0,0.98,0.1104,0.9637,normal,accept,NORMAL
6,100,N,N,0.0,0.9649,0.1808,0.9459,normal,accept,NORMAL
7,100,S,N,0.0,0.9622,0.19,0.94,normal,accept,NORMAL
8,100,N,N,0.0,0.9546,0.2019,0.9134,normal,accept,NORMAL
9,100,N,N,0.0,0.9774,0.1217,0.9588,normal,accept,NORMAL
10,100,N,N,0.0,0.9788,0.1177,0.9625,normal,accept,NORMAL
11,100,N,N,0.0,0.9832,0.0972,0.9703,normal,accept,NORMAL
12,100,N,N,0.0,0.9677,0.1592,0.9398,normal,accept,NORMAL
13,100,N,N,0.0,0.9728,0.1457,0.9537,normal,accept,NORMAL
14,100,N,N,0.0,0.9671,0.1676,0.9427,normal,accept,NORMAL
15,100,N,N,0.0,0.9665,0.1627,0.9374,normal,accept,NORMAL
16,100,N,N,0.0,0.9596,0.1922,0.9267,normal,accept,NORMAL
17,100,N,N,0.0,0.9756,0.1334,0.9582,normal,accept,NORMAL
18,100,N,N,0.0,0.9809,0.1109,0.9693,normal,accept,NORMAL
19,100,N,N,0.0,0.9264,0.302,0.8652,normal,accept,NORMAL
20,100,N,N,0.0,0.9819,0.1022,0.9673,normal,accept,NORMAL
21,100,N,N,0.0,0.9629,0.1847,0.936,normal,accept,NORMAL
22,100,N,N,0.0,0.9621,0.1873,0.9347,normal,accept,NORMAL
23,100,N,N,0.0,0.9734,0.1381,0.9512,normal,accept,NORMAL
24,100,N,N,0.0,0.966,0.1637,0.936,normal,accept,NORMAL
25,100,N,N,0.0,0.8493,0.5384,0.7698,normal,accept,NORMAL
26,100,N,N,0.0,0.9721,0.1387,0.9469,normal,accept,NORMAL
27,100,N,N,0.0,0.9689,0.1564,0.9429,normal,accept,NORMAL
28,100,N,N,0.0,0.9509,0.2285,0.9137,normal,accept,NORMAL
29,100,N,N,0.0,0.9738,0.138,0.953,normal,accept,NORMAL
